id,quote
326,Stop making excuses and start ticking things off your to-do list.
327,You can’t be productive until you start turning thoughts into actions.
328,We all have 24 hours in the day.
329,Success always demands a greater effort.
330,"Work hard in silence, let your success be the noise."
331,Don’t be pushed around by the fears in your mind.
332,Be led by the dreams in your heart.
333,"In a gentle way, you can shake the world."
334,Believe you can and you’re halfway there.
335,Start where you are. Use what you have. Do what you can.
336,Either you run the day or the day runs you.
337,Small steps every day.
338,Discipline is the bridge between goals and accomplishment.
339,Done is better than perfect.
340,One day or day one. You decide.
341,"Your future is created by what you do today, not tomorrow."
342,"Focus on progress, not perfection."
343,You are your only limit.
344,Great things never come from comfort zones.
345,Don’t wish for it. Work for it.
346,Success is the sum of small efforts repeated day in and day out.
347,Doubt kills more dreams than failure ever will.
348,Wake up with determination. Go to bed with satisfaction.
349,The key to success is to start before you are ready.
350,Losers quit when they fail. Winners fail until they succeed.
351,Dreams don't work unless you do.
352,Go the extra mile.
353,Keep your face always toward the sunshine.
354,Action is the foundational key to all success.
355,Just one small positive thought in the morning can change your whole day.
356,"Opportunities don't happen, you create them."
357,"Love your family, work super hard, live your passion."
358,It is never too late to be what you might have been.
359,The best revenge is massive success.
360,What you do today can improve all your tomorrows.
361,"If there is no wind, row."
362,Make each day your masterpiece.
363,"Wherever you go, go with all your heart."
364,Turn your wounds into wisdom.
365,Focus on being productive instead of busy.
366,Motivation is what gets you started. Habit is what keeps you going.
367,Never confuse activity with productivity.
368,"The path to success is to take massive, determined action."
369,You don’t get paid for the hour. You get paid for the value you bring to the hour.
370,A productive day starts with intention.
371,Taking time to recharge doesn’t kill productivity; it promotes it.
372,Clarity is everything.
373,Do the hard jobs first. Easy jobs will take care of themselves.
374,What looks like multitasking is really switching back and forth.
375,Do fewer things. Work at a natural pace. Obsess over quality.
376,Stop making excuses and start ticking things off your to-do list.
377,You can’t be productive until you start turning thoughts into actions.
378,We all have 24 hours in the day.
379,Success always demands a greater effort.
380,"Work hard in silence, let your success be the noise."
381,Don’t be pushed around by the fears in your mind.
382,Be led by the dreams in your heart.
383,"In a gentle way, you can shake the world."
384,Believe you can and you’re halfway there.
385,Start where you are. Use what you have. Do what you can.
386,Either you run the day or the day runs you.
387,Small steps every day.
388,Discipline is the bridge between goals and accomplishment.
389,Done is better than perfect.
390,One day or day one. You decide.
391,"Your future is created by what you do today, not tomorrow."
392,"Focus on progress, not perfection."
393,You are your only limit.
394,Great things never come from comfort zones.
395,Don’t wish for it. Work for it.
396,Success is the sum of small efforts repeated day in and day out.
397,Doubt kills more dreams than failure ever will.
398,Wake up with determination. Go to bed with satisfaction.
399,The key to success is to start before you are ready.
400,Losers quit when they fail. Winners fail until they succeed.
